,AAA Organization Name,AAA Year Found,AAA EIN,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,CityDance Emsemble,2018,522165072,"CITYDANCE IS AN ARTS AND EDUCATION LEADER THROUGHOUT THE DC METROPOLITAN AREA. WITH ITS MISSION TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE, CITYDANCE PRODUCES AND PRESENTS WORLD-CLASS DANCE; TRAINS YOUNG DANCERS FOR PROFESSIONAL CAREERS; AND (CONTINUED ON SCHEDULE O)",15,15,36,19,0,1775717,1395722,1919424,,0,,0,3654511,3315146,,0,0,1280831,1355127,0,208107,1603265,1679049,2884096,3034176,770415,280970,1528599,1851951,227418,269800,1301181,1582151
0,CityDance Emsemble,2017,522165072,"CITYDANCE HAS A MISSION TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE AND FULFILLS THIS MISSION THROUGH THREE CORE PROGRAM OFFERINGS: CITYDANCE PRESENTS - PRODUCING AND PRESENTING PROFESSIONAL DANCE AT PRESTIGIOUS PERFORMANCE VENUES THROUGHOUT THE DC METROPOLITAN REGION; CITYDANCE SCHOOL & CONSERVATORY - TRAINING YOUNG DANCERS FOR PROFESSIONAL CAREERS AT ITS THREE DANCE CENTERS IN MARYLAND AND DC ; AND CITYDANCE DREAM - USING DANCE TO PREPARE YOUTH FROM DC'S LOW-INCOME COMMUNITIES FOR ACADEMIC, PROFESSIONAL AND PERSONAL SUCCESS.",14,14,28,14,0,778706,1775717,1878794,,0,,0,2261320,3654511,,0,0,989589,1280831,0,229740,1130842,1603265,2120431,2884096,140889,770415,590654,1528599,59888,227418,530766,1301181
0,CityDance Emsemble,2016,522165072,"CITYDANCE IS A NON-PROFIT ORGANIZATION RECOGNIZED AS AN ARTS AND EDUCATION LEADER IN THE DC METROPOLITAN AREA WHOSE MISSION IS TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE. CITYDANCE TRAINS YOUNG DANCERS FOR PROFESSIONAL CAREERS; PRESENTS NATIONALLY RECOGNIZED DANCE COMPANIES ON WASHINGTON'S MAJOR STAGES; AND USES DANCE TO EQUIP YOUTH WITH THE SKILLS NEEDED TO SUCCEED IN SCHOOL, CAREER AND LIFE.",12,12,23,50,0,631692,778706,1482614,,0,,0,1961940,2261320,,0,0,897108,989589,0,163831,991340,1130842,1888448,2120431,73492,140889,417015,590654,27138,59888,389877,530766
0,CityDance Emsemble,2015,522165072,"CITYDANCE IS A RECOGNIZED ARTS AND EDUCATION LEADER IN OUR NATION'S CAPITAL. FOUNDED IN 1996, CITYDANCE'S MISSION IS TO BRING THE HIGHEST- QUALITY PROFESSIONAL DANCE TO D.C. STAGES; TRAIN YOUTH FOR 21ST CENTURY DANCE CAREERS; AND PROVIDE ACCESS TO DANCE TRAINING AND PERFORMANCE TO UNDERSERVED POPULATIONS.",9,9,24,50,0,613803,631692,1330248,,0,,0,1880714,1961940,,0,0,816335,897108,0,154955,898698,991340,1715033,1888448,165681,73492,482825,417015,166440,27138,316385,389877
0,College Success Foundation-DC,2017,205561911,TO INCREASE THE NUMBER OF COLLEGE GRADUATES AMONG LOW-INCOME YOUTH.,13,13,82,189,0,2084307,3081840,204548,0,2655,0,-70254,2084307,3218789,6977261,8581023,0,976889,2094277,66000,406092,825736,1729172,8819636,12470472,-6735329,-9251683,59326044,50421347,26894926,27241912,32431118,23179435
0,College Success Foundation-DC,2015,205561911,TO INCREASE THE NUMBER OF COLLEGE GRADUATES AMONG LOW-INCOME YOUTH.,15,15,66,285,0,3478175,3130802,83574,4671,4909,-80852,-81333,3470006,3137952,6191255,8880504,0,1661653,1923745,28625,367826,2209045,2092653,10061953,12925527,-6591947,-9787575,68266628,59263866,19312606,20097419,48954022,39166447
0,College Success Foundation-DC,2014,205561911,TO INCREASE THE NUMBER OF COLLEGE GRADUATES AMONG LOW-INCOME YOUTH.,16,14,48,307,0,3627624,3478175,68012,2770,4671,-59741,-80852,4173153,3470006,10094783,6191255,0,1788008,1661653,0,422893,2406485,2209045,14289276,10061953,-10116123,-6591947,75413333,68266628,19867364,19312606,55545969,48954022
0,Common Threads,2018,200106847,TEACH LOW INCOME CHILDREN TO COOK WHOLESOME AND AFFORDABLE MEALS.,14,14,32,250,0,2462820,2896588,76952,1148,559,-17158,78520,2473012,3052619,0,0,0,1886336,1871971,0,396598,1322619,971000,3208955,2842971,-735943,209648,1855681,2067429,126524,128624,1729157,1938805
0,Common Threads,2017,200106847,TEACH LOW INCOME CHILDREN TO COOK WHOLESOME AND AFFORDABLE MEALS.,14,14,32,225,0,2131640,2462820,26202,2289,1148,4685,-17158,2232977,2473012,0,0,0,1564844,1886336,0,473444,816202,1322619,2381046,3208955,-148069,-735943,2530767,1855681,65667,126524,2465100,1729157
0,Common Threads,2016,200106847,TEACH LOW INCOME CHILDREN TO COOK WHOLESOME AND AFFORDABLE MEALS.,16,16,25,175,0,1897974,2131640,94363,87994,2289,10578,4685,2058935,2232977,0,0,0,1275864,1564844,0,336879,516603,816202,1792467,2381046,266468,-148069,2668617,2530767,55448,65667,2613169,2465100
0,Community Services Foundation,2018,452635513,"TO ENHANCE THE LIVES OF RESIDENTS LIVING IN MANAGED COMMUNITIES BY PROVIDING STRUCTURED SERVICES, ACTIVITIES AND PROGRAMS FOR RESIDENTS IN THE COMMUNITIES.",7,10,11,30,0,1173368,1315300,882576,,0,1867,11498,1996501,2209374,136250,143314,0,517552,615975,0,100818,1335490,1346298,1989292,2105587,7209,103787,603605,744614,214420,251642,389185,492972
0,Community Services Foundation,2017,452635513,"TO ENHANCE THE LIVES OF RESIDENTS LIVING IN MANAGED COMMUNITIES BY PROVIDING STRUCTURED SERVICES, ACTIVITIES AND PROGRAMS FOR RESIDENTS IN THE COMMUNITIES.",7,7,9,30,0,921202,1173368,821266,,0,6465,1867,1697770,1996501,127059,136250,0,449844,517552,0,134591,1027613,1335490,1604516,1989292,93254,7209,532435,603605,150459,214420,381976,389185
0,Community Services Foundation,2016,452635513,"TO ENHANCE THE LIVES OF RESIDENTS LIVING IN MANAGED COMMUNITIES BY PROVIDING STRUCTURED SERVICES, ACTIVITIES AND PROGRAMS FOR RESIDENTS IN THE COMMUNITIES.",7,7,16,,0,508098,921202,770103,,0,107,6465,1190876,1697770,161681,127059,0,401993,449844,0,99754,394920,1027612,958594,1604515,232282,93255,379414,532435,90692,150458,288722,381977
0,Community Services Foundation,2014,452635513,"TO ENHANCE THE LIVES OF RESIDENTS LIVING IN MANAGED COMMUNITIES BY PROVIDING STRUCTURED SERVICES, ACTIVITIES AND PROGRAMS FOR RESIDENTS IN THE COMMUNITIES.",5,5,16,,0,96299,508098,682671,,0,,107,105299,1190876,59590,161681,0,,401993,0,0,2324,394920,61914,958594,43385,232282,116030,379414,59590,90692,56440,288722
0,Dance Institue of Washington,2017,521851373,"THE DANCE INSTITUTE OF WASHINGTON (DIW) IS A DANCE EDUCATION INSTITUTION COMMITTED TO PROVIDING CHILDREN AND YOUTH THE OPPORTUNITY TO DEVELOP ARTISTICALLY, SOCIALLY, EMOTIONALLY AND INTELLECTUALLY THROUGH THE DISCIPLINE OF DANCE.",6,6,8,6,0,443863,383526,186610,0,12,0,1161,737526,571309,0,0,0,421946,228744,0,36823,306244,480847,728190,709591,9336,-138282,359540,224111,203355,296087,156185,-71976
0,Dance Institue of Washington,2015,521851373,"THE DANCE INSTITUTE DIW IS A DANCE EDUCATION INSTITUTE COMMITTED TO PROVIDING CHILDREN AND YOUTH THE OPPORTUNITY TO DEVELOP ARTISTICALLY, SOCIALLY EMOTIONALLY AND INTELECTUALLY THROUGH THE DISCIPLINE OF DANCE",6,5,9,,0,570791,506019,282774,,0,,0,772767,788793,1784,0,0,354550,404850,0,0,258580,274992,614914,679842,157853,108951,377790,330513,328683,220197,49107,110316
0,Dance Institue of Washington,2014,521851373,"THE DANCE INSTITUTE OF WASHINGTON (DIW) IS A DANCE EDUCATION INSTITUTION COMMITTED TO PROVIDING CHILDREN AND YOUTH THE OPPORTUNITY TO DEVELOP ARTISTICALLY, SOCIALLY, EMOTIONALLY AND INTELLECTUALLY THROUGH THE DISCIPLINE OF DANCE.",6,5,9,0,0,500390,570791,201976,290,0,-103807,0,621553,772767,12599,1784,0,312089,354550,0,2916,222219,258580,546907,614914,74646,157853,237901,377790,346647,328683,-108746,49107
0,Dance Place (DC Wheel Productions),2018,521118504,"FOUNDED IN 1980, DANCE PLACE BUILDS A COMMUNITY OF ARTISTS, AUDIENCES, AND STUDENTS. THIS IS ACCOMPLISHED THROUGH HIGH QUALITY PERFORMANCES, COMMISSIONS, TRAINING AND EDUCATIONAL PROGRAMS. WE ARE COMMITTED TO ENRICHING THE FIELD OF DANCE LOCALLY, NATIONALLY AND INTERNATIONALLY. OUR THRIVING ARTS CAMPUS SERVES AS AN ANCHOR IN THE DEVELOPMENT OF OUR BROOKLAND/EDGEWOOD NEIGHBORHOOD IN WASHINGTON, DC.",18,17,30,56,3360,1312698,1475448,594067,725,528,-5655,-17738,1854890,2052305,0,0,0,818963,852075,0,175501,941479,1006944,1760442,1859019,94448,193286,4779191,4888601,610297,526421,4168894,4362180
0,Dance Place (DC Wheel Productions),2017,521118504,"FOUNDED IN 1980, DANCE PLACE BUILDS A COMMUNITY OF ARTISTS, AUDIENCES, AND STUDENTS. THIS IS ACCOMPLISHED THROUGH HIGH QUALITY PERFORMANCES, COMMISSIONS, TRAINING AND EDUCATIONAL PROGRAMS. WE ARE COMMITTED TO ENRICHING THE FIELD OF DANCE LOCALLY, NATIONALLY AND INTERNATIONALLY. OUR THRIVING ARTS CAMPUS SERVES AS AN ANCHOR IN THE DEVELOPMENT OF OUR BROOKLAND/EDGEWOOD NEIGHBORHOOD IN WASHINGTON, DC.",17,16,26,50,3220,2324654,1312698,547122,472,725,4337,-5655,2811819,1854890,0,0,0,760387,818963,0,161475,976969,941479,1737356,1760442,1074463,94448,4831235,4779191,756789,610297,4074446,4168894
0,Dance Place (DC Wheel Productions),2016,521118504,"FOUNDED IN 1980, DANCE PLACE BUILDS A COMMUNITY OF ARTISTS, AUDIENCES AND STUDENTS THROUGH HIGH QUALITY PERFORMANCE, COMMISSIONS, TRAINING AND EDUCATIONAL PROGRAMS. WE ARE COMMITTED TO ENRICHING THE FIELD OF DANCE LOCALLY, NATIONALLY AND INTERNATIONALLY.",15,13,20,40,0,1543346,2988577,416961,,0,24857,44528,1974250,3450066,,0,0,695082,705859,0,249586,971403,972032,1666485,1677891,307765,1772175,3153636,4368380,159545,1346492,2994091,3021888
0,DC Creative Writing Workshop,2018,522221613,"THE DCCWW, BASED IN THE CONGRESS HEIGHTS NEIGHBORHOOD OF SOUTHEAST D.C., UNITES PARENTS, TEACHERS AND PROFESSIONAL WRITERS-IN-RESIDENCE TO TRANSFORM THE LIVES OF YOUTH THROUGH SELF-EXPRESSION AND THE POWER OF THE WRITTEN WORD.",6,6,8,5,3838,158740,149810,150,4391,3838,,0,163281,153798,,0,0,119596,148204,0,0,34710,37508,154306,185712,8975,-31914,161176,131226,2723,5083,158453,126143
0,DC Creative Writing Workshop,2017,522221613,"THE DCCWW, BASED IN THE CONGRESS HEIGHTS NEIGHBORHOOD OF SOUTHEAST D.C., UNITES PARENTS, TEACHERS AND PROFESSIONAL WRITERS-IN-RESIDENCE TO TRANSFORM THE LIVES OF YOUTH THROUGH SELF-EXPRESSION AND THE POWER OF THE WRITTEN WORD.",6,6,8,5,0,190097,158740,150,1583,4391,,0,191845,163281,,0,0,113446,119596,0,0,37784,34710,151230,154306,40615,8975,147852,161176,5091,2723,142761,158453
0,DC Creative Writing Workshop,2016,522221613,"THE DCCWW, BASED IN THE CONGRESS HEIGHTS NEIGHBORHOOD OF SOUTHEAST D.C., UNITES PARENTS, TEACHERS AND PROFESSIONAL WRITERS-IN-RESIDENCE TO TRANSFORM THE LIVES OF YOUTH THROUGH SELF-EXPRESSION AND THE POWER OF THE WRITTEN WORD.",6,6,10,5,0,168005,190097,165,203,1583,,0,168208,191845,,0,0,82804,113446,0,0,34067,37784,116871,151230,51337,40615,107988,147852,4592,5091,103396,142761
0,DC Promise Neighborhood Initiative,2017,270675043,DCPNI SUPPORTS ALL MEMBERS OF THE KENILWORTH- PARKSIDE COMMUNITY IN REALIZING THEIR INNATE CAPACITY TO IMPROVE THE QUALITY OF THEIR OWN LIVES AND INSPIRE CHANGE IN THEIR NEIGHBORHOOD AND THE WORLD.,9,9,58,35,0,6017319,6522169,0,,0,,2766,6017319,6524935,11115,30853,0,2978366,3005347,0,148672,3076483,3741555,6065964,6777755,-48645,-252820,1344354,615467,815502,339435,528852,276032
0,DC Promise Neighborhood Initiative,2016,270675043,DCPNI SUPPORTS ALL MEMBERS OF THE KENILWORTH- PARKSIDE COMMUNITY IN REALIZING THEIR INNATE CAPACITY TO IMPROVE THE QUALITY OF THEIR OWN LIVES AND INSPIRE CHANGE IN THEIR NEIGHBORHOOD AND THE WORLD.,8,8,86,15,0,5071693,6017319,0,,0,,0,5071693,6017319,15753,11115,0,2085684,2978366,0,132297,2746158,3076483,4847595,6065964,224098,-48645,1395611,1344354,818114,815502,577497,528852
0,DC Promise Neighborhood Initiative,2015,270675043,DCPNI SUPPORTS ALL MEMBERS OF THE KENILWORTH- PARKSIDE COMMUNITY IN REALIZING THEIR INNATE CAPACITY TO IMPROVE THE QUALITY OF THEIR OWN LIVES AND INSPIRE CHANGE IN THEIR NEIGHBORHOOD AND THE WORLD.,15,15,45,450,0,3822257,5071693,0,,0,,0,3822257,5071693,152574,15753,0,1466604,2085684,0,129394,2281486,2746158,3900664,4847595,-78407,224098,1117588,1395611,764189,818114,353399,577497
0,DC Scores,2016,522230721,"DC SCORES builds teams through after-school programs for 1,500 low-income DC youth at 47 schools by instilling self-expression, physical fitness, and a sense of community.",21,21,23,422,0,1200347,1328317,161003,357,119,756,2870,1803072,1492309,0,0,0,847293,963289,0,242673,989864,799707,1858157,1762996,-55085,-270687,804882,533611,50203,46308,754679,487303
0,DC Scores,2015,522230721,"DC SCORES builds teams through after-school programs for 1,500 low-income DC youth at 47 schools by instilling self-expression, physical fitness, and a sense of community.",19,19,19,323,0,1951097,1200347,601612,0,357,0,756,1984954,1803072,0,0,0,791492,847293,21000,269826,781272,989864,1597529,1858157,387425,-55085,849804,804882,40040,50203,809764,754679
0,DC Youth Orchestra Program,2017,526059783,"THE MISSION OF DC YOUTH ORCHESTRA PROGRAM (DCYOP) IS ""MUSIC FOR YOUNG PEOPLE; ACHIEVEMENT FOR LIFE."" ITS GOALS ARE TO PROVIDE AFFORDABLE, ACCESSIBLE, QUALITY MUSIC INSTRUCTION AND PERFORMANCE OPPORTUNITIES FOR YOUNG PEOPLE IN THE DC AREA, TO DEVELOP A YOUTH ORCHESTRA CAPABLE OF COMPETING SUCCESSFULLY AT THE NATIONAL AND (CONTINUED ON SCHEDULE O)",8,8,9,100,0,555907,822397,341127,1077,802,15384,15040,911101,1179366,61507,52490,0,421986,442427,0,47016,350137,412250,833630,907167,77471,272199,424824,766721,66908,131816,357916,634905
0,DC Youth Orchestra Program,2016,526059783,"THE MISSION OF DC YOUTH ORCHESTRA PROGRAM (DCYOP) IS ""MUSIC FOR YOUNG PEOPLE; ACHIEVEMENT FOR LIFE."" ITS GOALS ARE TO PROVIDE AFFORDABLE, ACCESSIBLE, QUALITY MUSIC INSTRUCTION AND PERFORMANCE OPPORTUNITIES FOR YOUNG PEOPLE IN THE DC AREA, TO DEVELOP A YOUTH ORCHESTRA CAPABLE OF COMPETING SUCCESSFULLY AT THE NATIONAL AND (CONTINUED ON SCHEDULE O)",7,7,9,100,0,385032,555907,338733,,1077,2007,15384,737681,911101,,61507,0,355096,421986,0,33565,412109,350137,767205,833630,-29524,77471,353098,424824,73940,66908,279158,357916
0,DC Youth Orchestra Program,2015,526059783,THE DCYOP PROVIDES INSTRUMENTAL MUSIC EDUCATION TO STUDENTS (AGES 4.5 TO 18) THROUGH CLASSROOM AND ENSEMBLE PARTICIPATION.,7,6,7,100,0,304143,385032,350642,0,0,11175,2007,666991,737681,0,0,0,337397,355096,0,4485,322543,412109,659940,767205,7051,-29524,362054,353098,62412,73940,299642,279158
0,DeLoren Foundation / Alternative Education League,2016,452453884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19811
0,Edlavitch DCJCC,2018,521398151,PROMOTE WELFARE OF MEMBERS AND COMMUNITY THROUGH PROGRAMS REFLECTING JEWISH HERITAGE AND VALUES.,55,55,274,9200,2000,9621158,8668490,5653523,143069,276053,127681,101127,15230811,14699193,0,0,0,5584249,5845195,0,380585,3994444,3841427,9608693,9686622,5622118,5012571,19477523,24446611,5437449,5287491,14040074,19159120
0,Edlavitch DCJCC,2016,521398151,PROMOTE THE WELFARE OF OUR MEMBERS THROUGH PROGRAMS THAT REFLECT JEWISH HERITAGE AND VALUES.,57,57,297,9162,1700,3001141,3392760,4949567,218295,237371,91397,1906,8140451,8581604,0,0,0,4750863,5240549,0,339225,3915746,3679389,8666609,8919938,-526158,-338334,11124517,13352442,2183996,4887476,8940521,8464966
0,Edlavitch DCJCC,2015,521398151,PROMOTE THE WELFARE OF OUR MEMBERS THROUGH PROGRAMS THAT REFLECT JEWISH HERITAGE AND VALUES.,54,54,246,9100,3550,2879311,3001141,4829618,169623,218295,46626,91397,7305944,8140451,0,0,0,4525809,4750863,0,389145,3503205,3915746,8029014,8666609,-723070,-526158,11499083,11124517,2236840,2183996,9262243,8940521
0,Fihankra Akoma Ntoaso (FAN),2017,203235972,"Fihankra Akoma Ntoaso (FAN)s mission is to cultivate a focus on the well-being and positive development of youth in an environment infused with safety, security, and love. FAN currently offers youth development programming to teens in foster care, ages 10-22.",7,7,14,9,0,59558,153699,5556,-103,25903,0,67,59455,185225,0,0,0,64467,145894,166,13976,23906,41241,88483,187301,-29028,-2076,145669,49575,21204,3093,124465,46482
0,Fihankra Akoma Ntoaso (FAN),2015,203235972,"Fihankra Akoma Ntoaso (FAN)s mission is to cultivate a focus on the well-being and positive development of youth in an environment infused with safety, security, and love. FAN currently offers youth development programming to teens in foster care, ages 10-22.",9,0,12,8,0,63200,59558,0,0,-103,0,0,63200,59455,0,0,0,20500,64467,110,6209,16340,23906,36903,88483,26297,-29028,168728,145669,4817,21204,163911,124465
0,Fishing School,2018,521736536,"To prepare elementary and middle school youth for success in high school and life by improving their academic performance and life skills; and engaging them and their parents in intensive, multi-year, and research-based out-of-school time and parental engagement programs.",13,13,74,45,0,1362818,1230524,120222,34,20,205775,-36835,1568627,1313931,,0,0,1032278,1009793,0,163643,528044,314977,1560322,1324770,8305,-10839,2139744,2247387,137731,256213,2002013,1991174
0,Fishing School,2017,521736536,"The Fishing School (TFS) is a nonprofit serving the Washington,DC communities most in need. Our mission is to prepare elementary and middle school youth for success in high school and life by improving their academic performance and life skills; and engaging them and their parents in intensive, multi-year, and research-based out-of-school time and parental engagement programs and activities.",12,12,16,30,0,1306876,1362818,0,122,34,280656,205775,1587654,1568627,,0,0,736929,1032278,0,156945,925627,528044,1662556,1560322,-74902,8305,2196125,2139744,202417,137731,1993708,2002013
0,Fishing School,2016,521736536,"The Fishing School prepares public school elementary and middle school youth for success in high school and life by improving their academic performance and life skills; engaging them and their parents in intensive, multi- year, and research-based out-of-school time and parental engagement programs and activities.",9,9,46,30,0,1263365,1306876,0,122,122,103006,280656,1366493,1587654,,0,0,657978,736929,0,166535,780007,925627,1437985,1662556,-71492,-74902,2131284,2196125,62673,202417,2068611,1993708
0,Fishing School,2015,521736536,"The Fishing School prepares public school elementary and middle school youth for success in high school and life by improving their academic performance and life skills; engaging them and their parents in intensive, multi- year, and research-based out-of-school time and parental engagement programs and activities.",10,10,16,25,57067,1166398,1263365,0,150,122,101311,103006,1267859,1366493,,0,0,613638,657978,0,119397,643209,780007,1256847,1437985,11012,-71492,2197378,2131284,57275,62673,2140103,2068611
0,Friends of Fort Dupont Ice Arena,2017,521985982,"FDIA provides opportunity, education, and inspiration to young people in DC area through ice skating & educational activities. Activities include public skating, lessons, and availability of facilities for teams and schools. FDIA provides a safe place for young people with structured activities.",16,16,23,300,-1544,369840,400476,575615,,0,12254,21601,955460,997692,,0,0,507339,571124,8776,118880,465523,496848,980302,1076748,-24842,-79056,1091937,1069389,50113,106621,1041824,962768
0,Friends of Fort Dupont Ice Arena,2016,521985982,"FDIA provides opportunity, education, and inspiration to young people in DC area through ice skating & educational activities. Activities include public skating, lessons, and availability of facilities for teams and schools. FDIA provides a safe place for young people with structured activities.",15,15,22,250,-1694,289795,369840,573366,,0,12249,12254,847758,955460,,0,0,493109,507339,7440,115484,449902,465523,952291,980302,-104533,-24842,1124722,1091937,58056,50113,1066666,1041824
0,Friends of Fort Dupont Ice Arena,2015,521985982,"FDIA provides opportunity, education, and inspiration to young people in DC area through ice skating & educational activities. Activities include public skating, lessons, and availability of facilities for teams and schools. FDIA provides a safe place for young people with structured activities.",17,17,25,250,987,373650,289795,545714,,0,6690,12249,899588,847758,,0,0,465668,493109,9280,113967,410511,449902,885039,952291,14549,-104533,1198601,1124722,27402,58056,1171199,1066666
0,Friends of Kenilworth Aquatic Gardens,2018,208701197,"FKAG was established to connect people to the park through volunteer service, education and recreation. FKAG encourages public discovery of the park through community events, volunteer activties, and educational programs for youth. FKAG also",9,9,2,250,0,77355,72377,147691,,0,486,616,77841,220684,,0,0,,68054,0,4386,,158155,,226209,77841,-5525,56940,81057,3821,32671,53119,48386
0,Friends of Kenilworth Aquatic Gardens,2017,208701197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29157,53119
0,Future Project,2017,274374555,"The Future Project's mission is to inspire young people to begin building the life and world of their dreams, and never stop. We focus on those students who would not otherwise have the opportunity or support to realize their greatness and share it with the world.",9,7,66,40,0,7625244,9964878,312201,,0,4267,0,7629511,10277079,,0,0,4284486,7014800,0,640665,2570922,2680863,6855408,9695663,774103,581416,1436788,1970334,536673,488803,900115,1481531
0,Future Project,2016,274374555,"The Future Project's mission is to inspire young people to begin building the life and world of their dreams, and never stop. We focus on those students who would not otherwise have the opportunity or support to realize their greatness and share it with the world.",10,7,66,100,0,2383597,7625244,0,,0,,4267,2383597,7629511,,0,0,1943698,4284486,0,636376,596613,2570922,2540311,6855408,-156714,774103,174667,1436788,72793,536673,101874,900115
0,Future Project,2015,274374555,"The Future Project's mission is to empower young people, especially those at risk of not realizing their infinite possibility, to build the life and world of their dreams.",10,7,34,100,0,1096976,2383597,0,8,0,,0,1096984,2383597,,0,0,587498,1943698,0,109546,244270,596613,831768,2540311,265216,-156714,318641,174667,60053,72793,258588,101874
0,GALA,2018,521064097,TO PRESERVE AND PROMOTE HISPANIC ART AND CULTURE THROUGH THE PRESENTATION OF BILINGUAL THEATRE.,14,14,11,60,4338,962562,1524162,467085,35,49,92294,81559,1321370,2072855,0,0,0,356750,361474,0,95084,1094511,1356841,1451261,1718315,-129891,354540,3651389,4023759,127715,145545,3523674,3878214
0,GALA,2017,521064097,TO PRESERVE AND PROMOTE HISPANIC ART AND CULTURE THROUGH THE PRESENTATION OF BILINGUAL THEATRE.,13,13,13,55,3925,963393,962562,266479,40,35,106163,92294,1321175,1321370,0,0,0,360226,356750,0,99762,1068505,1094511,1428731,1451261,-107556,-129891,3786177,3651389,132612,127715,3653565,3523674
0,GALA,2016,521064097,TO PRESERVE AND PROMOTE HISPANIC ART AND CULTURE THROUGH THE PRESENTATION OF BILINGUAL THEATRE.,13,13,13,40,0,1047537,963393,251579,40,40,126146,106163,1437274,1321175,0,0,0,361878,360226,0,95952,1108143,1068505,1470021,1428731,-32747,-107556,3885392,3786177,124271,132612,3761121,3653565
0,GALA,2015,521064097,TO PRESERVE AND PROMOTE HISPANIC ART AND CULTURE THROUGH THE PRESENTATION OF BILINGUAL THEATRE.,14,14,12,55,0,897422,1047537,263551,50,40,83202,126146,1295271,1437274,0,0,0,377439,361878,0,76232,1091350,1108143,1468789,1470021,-173518,-32747,3915854,3885392,121986,124271,3793868,3761121
0,Georgia Avenue Rock Creek East Family Support Collaborative,2018,522349433,GAFSC provides services that stabilize and strengthen families and prevent the abuse and neglect of children and build the District of Columbias capacity of the Ward 4 community to support youth and families.,8,8,32,,0,3019308,3304827,0,31,4,,0,3019339,3304831,,421231,0,1937330,1953838,32500,32500,1227981,812909,3165311,3220478,-145972,84353,1469363,1645672,1103326,1170283,366037,475389
0,Georgia Avenue Rock Creek East Family Support Collaborative,2017,522349433,GAFSC provides services that stabilize and strenghten families and prevent the abuse and neglect of children and build the District of Columbia's capacity of the ward 4 community to support youth and families.,11,10,37,40,0,3084157,3019308,0,7,31,,0,3084164,3019339,,0,0,2109051,1937330,0,0,866538,1227981,2975589,3165311,108575,-145972,1680071,1469363,1168062,1103326,512009,366037
0,Girls  of the Washington DC Metropolitan Area,2018,841648959,"Girls Inc. is a national nonprofit youth organization dedicated to inspiring all girls to be strong, smart and bold. Girls Inc. provides vital educational programs to millions of American girls, particularly those in high-risk underserved areas.",13,13,10,,0,377272,275196,3625,26,-1120,-35231,0,344118,277701,,0,0,189219,195676,0,29638,58863,60731,248082,256407,96036,21294,172480,201436,3478,11140,169002,190296
0,Girls  of the Washington DC Metropolitan Area,2017,841648959,"Girls Inc. is a national nonprofit youth organization dedicated to inspiring all girls to be strong, smart and bold. Girls Inc. provides vital educational programs to millions of American girls, particularly those in high-risk underserved areas.",22,22,8,,0,202604,377272,2051,,26,,-35231,205181,344118,,0,0,145696,189219,0,26172,86687,58863,240033,248082,-34852,96036,83425,172480,11003,3478,72422,169002
0,Girls  of the Washington DC Metropolitan Area,2015,841648959,"Girls Inc. is a national nonprofit youth organization dedicated to inspiring all girls to be strong, smart and bold. Girls Inc. provides vital educational programs to millions of American girls, particularly those in high-risk underserved areas.",19,19,6,,0,223974,202604,2577,,0,-19861,0,206338,205181,,0,0,134713,145696,7650,28592,51499,86687,186212,240033,20126,-34852,106969,83425,3189,11003,103780,72422
0,Girls  of the Washington DC Metropolitan Area,2014,841648959,"Girls Inc. is a national nonprofit youth organization dedicated to inspiring all girls to be strong, smart and bold. Girls Inc. provides vital educational programs to millions of American girls, particularly those in high-risk underserved areas.",16,16,6,,0,226518,223974,2225,,0,-4741,-19861,225984,206338,,0,0,126656,134713,0,29874,57474,51499,184130,186212,41854,20126,89555,106969,5901,3189,83654,103780
0,Girls on the Run DC,2017,743218001,"GOTR-DC is a positive youth development program for girls in third through eighth grades. Volunteers are trained to deliver the 10-week interactive curriculum that teaches girls life skills, healthy living, and self-respect.",11,11,7,1200,0,345944,338751,219924,488,329,-23712,9018,510282,568022,0,0,0,223597,305304,7719,164792,204778,240446,436715,553469,73567,14553,311941,323763,11592,8861,300349,314902
