Legislation Number,Legislation Category,Legislation Type,Short Title,Introduction Date,Status,Act/Res Number,Law Number,Comittee Referral,Introduced By,Co-Sponsor(s)
RC23-0035,Report,Other,Correspondence from the Mayor - DOES Office of Workers' Compensation Annual Report Fiscal Year 2018,"Feb 26, 2019",Under Council Review, , , ,Chairman Phil Mendelson, 
RC23-0034,Report,Other,"Correspondence from the Mayor - Annual Freedom of Information Act Report for Fiscal Year 2018 (October 1, 2017 through September 30, 2018)","Feb 25, 2019",Under Council Review, , , ,Chairman Phil Mendelson, 
IG23-0017,Report,Inspector General,Government of the District of Columbia: Best Practice Recommendations for Fiscal Year 2018,"Feb 25, 2019",Under Council Review, , , ,Chairman Phil Mendelson, 
PR23-0123,Resolution,Proposed Resolution,Food Policy Council Emil Reyes Confirmation Resolution of 2019,"Feb 14, 2019",Under Council Review, , ,Committee on Transportation and the Environment,Chairman Mendelson at the request of the Mayor, 
PR23-0122,Resolution,Proposed Resolution,Food Policy Council Evangelos (Spike) Mendelsohn Confirmation Resolution of 2019,"Feb 14, 2019",Under Council Review, , ,Committee on Transportation and the Environment,Chairman Mendelson at the request of the Mayor, 
PR23-0120,Resolution,Proposed Resolution,District of Columbia Board of Ethics and Government Accountability Charles Nottingham Confirmation Resolution of 2019,"Feb 13, 2019",Under Council Review, , ,Committee on Judiciary and Public Safety,Chairman Mendelson at the request of the Mayor, 
B23-0151,Bill,Permanent Bill,Blind Students Literacy and Education Rights Act of 2019,"Feb 19, 2019",Under Council Review, , ,Committee on Education and Committee of the Whole,"Councilmembers Todd, Grosso, Nadeau, Allen, and Bonds","Councilmembers Evans, Gray, R. White, Cheh, and T. White"
B23-0150,Bill,Permanent Bill,Dyslexia and Other Reading Disabilities Screening and Prevention Pilot Program Act of 2019,"Feb 19, 2019",Under Council Review, , ,Committee on Education and Committee of the Whole,"Councilmembers Todd, Allen, Evans, Nadeau, and Bonds",Councilmembers Cheh and T. White
B23-0149,Bill,Permanent Bill,Fair Tenant Screening Act of 2019,"Feb 19, 2019",Under Council Review, , ,Committee on Government Operations,Councilmember T. White,"Councilmembers Bonds, Gray, and Grosso"
B23-0148,Bill,Permanent Bill,Transportation Benefits Equity Amendment Act of 2019,"Feb 19, 2019",Under Council Review, , ,Committee on Transportation and the Environment,Councilmembers Allen and Cheh,"Councilmembers Bonds, Nadeau, and Grosso"
B23-0147,Bill,Permanent Bill,Office on Deaf and Hard of Hearing Establishment Amendment Act of 2019,"Feb 19, 2019",Under Council Review, , ,Committee on Government Operations,"Councilmembers Allen, R. White, Evans, Grosso, Nadeau, and Bonds",Councilmembers Gray and Cheh
B23-0146,Bill,Permanent Bill,Open Movie Captioning Requirement Act of 2019,"Feb 19, 2019",Under Council Review, , ,Committee of the Whole,"Councilmembers Allen, R. White, Silverman, Bonds, Grosso, Nadeau, and Evans",Councilmember Cheh
B23-0145,Bill,Permanent Bill,District of Columbia Psychology Interjurisdictional Compact Act of 2019,"Feb 19, 2019",Under Council Review, , ,Committee on Health and Committee of the Whole,"Councilmembers Nadeau, Grosso, Silverman, Gray, and Cheh",Councilmember Allen
B23-0143,Bill,Permanent Bill,Department of General Services Procurement Authority Amendment Act of 2019,"Feb 14, 2019",Under Council Review, , ,Committee on Facilities and Procurement,Chairman Mendelson, 
RC23-0033,Report,Other,Correspondence from the Mayor - Youth Bullying Prevention in the District of Columbia School Year 2017-2018 Report,"Feb 22, 2019",Under Council Review, , , ,Chairman Mendelson , 
RC23-0032,Report,Other,Correspondence from the Mayor - Youth Bullying Prevention in the District of Columbia School Year 2017-2018 Report,"Feb 21, 2019",Under Council Review, , , ,Chairman Mendelson , 
B23-0144,Bill,Emergency Bill,Fair Access to Selective High Schools Emergency Act of 2019,"Feb 19, 2019",Under Council Review, , ,Retained by the Council,Councilmembers Allen and R. White, 
PR23-0124,Resolution,Emergency Declaration Resolution,Fair Access to Selective High Schools Emergency Declaration Resolution of 2019,"Feb 19, 2019",Voting Failed, , ,Retained by the Council,Councilmembers Allen and R. White, 
RC23-0031,Report,Other,Correspondence from the Mayor - DHS Adult Protection Services FY16 Annual Report,"Feb 14, 2019",Under Council Review, , , ,Chairman Phil Mendelson, 
RC23-0030,Report,Other,Correspondence from the Mayor - DHS Interim Eligibility Report for FY2018 (October 2017 - September 2018),"Feb 14, 2019",Under Council Review, , , ,Chairman Phil Mendelson, 
HFA23-0001,Housing Finance Agency,Housing Finance Agency,Notification of a Proposed Revenue Bond Issuance by the District of Columbia Housing Finance Agency,"Feb 14, 2019",Under Council Review, , ,Retained by the Council,Chairman Mendelson at the request of The District of Columbia Housing Finance Agency, 
AU23-0003,Report,Auditor,Management Alert: District Government Not in Compliance with Statutory Performance Budget Requirements,"Feb 13, 2019",Under Council Review, , , ,Chairman Phil Mendelson, 
